"Level","Variable","h5-Group","h5-Mean","h5-SD","h5-n","h4-Group","h4-Mean","h4-SD","h4-n","h3-Group","h3-Mean","h3-SD","h3-n","h2-Group","h2-Mean","h2-SD","h2-n","h1-Group","h1-Mean","h1-SD","h1-n"
11,"meanPatch","defg",0.91,0.17,118,"bc",0.96,0.18,196,"defg",0.97,0.17,198,"b",1.02,0.15,128,"f",0.85,0.24,231
12,"meanPatch","cd",0.95,0.13,108,"ab",1.04,0.17,171,"abc",1.05,0.14,181,"ab",1.08,0.19,105,"f",0.9,0.29,201
13,"meanPatch","abc",1.04,0.14,62,"a",1.09,0.16,92,"a",1.1,0.17,111,"a",1.15,0.22,46,"f",0.87,0.24,90
14,"meanPatch","defgh",0.85,0.13,22,"ab",1.04,0.25,46,"cdefg",0.98,0.23,61,"ab",1.14,0.1,15,"ef",0.94,0.2,19
15,"meanPatch","i",0.56,0.05,4,"ab",1.05,0.18,30,"h",0.82,0.1,34,"ab",1.11,0.07,4,"abcdef",0.97,0.04,11
-4,"maxPatch","abc",1.01,0.07,112,"ab",1.01,0.09,216,"ab",1.02,0.12,198,"c",0.99,0.1,143,"abc",0.99,0.08,263
-3,"maxPatch","ab",1.04,0.06,117,"a",1.04,0.08,223,"a",1.03,0.08,206,"bc",1.01,0.1,145,"a",1.02,0.09,266
-2,"maxPatch","bc",0.97,0.08,111,"bc",0.97,0.11,224,"cde",0.96,0.1,205,"bc",1.01,0.06,143,"abc",1,0.08,265
-1,"maxPatch","bc",0.97,0.08,119,"abc",0.98,0.12,230,"abcd",0.99,0.09,214,"c",0.99,0.1,144,"abc",0.99,0.07,263
0,"maxPatch","d",0.85,0.26,111,"de",0.89,0.27,227,"bcd",0.98,0.15,209,"c",0.99,0.11,144,"abcde",0.98,0.11,266
1,"maxPatch","e",0.75,0.31,119,"cde",0.9,0.23,229,"abc",1,0.14,217,"abc",1.05,0.16,143,"abc",1.01,0.1,265
2,"maxPatch","e",0.74,0.26,113,"e",0.86,0.22,229,"bcde",0.97,0.14,212,"bc",1.01,0.15,143,"abc",1,0.09,261
3,"maxPatch","e",0.76,0.2,117,"cd",0.93,0.17,241,"bcde",0.97,0.11,220,"bc",1.01,0.11,144,"abc",0.99,0.1,268
4,"maxPatch","c",0.93,0.14,113,"abc",1,0.12,208,"abc",1,0.12,210,"abc",1.02,0.12,140,"abcde",0.98,0.11,249
5,"maxPatch","c",0.95,0.13,117,"ab",1.01,0.12,197,"abc",1.01,0.16,207,"bc",1.01,0.12,137,"ab",1.02,0.11,242
6,"maxPatch","cd",0.92,0.13,111,"c",0.95,0.12,194,"de",0.95,0.18,206,"bc",1.01,0.15,137,"abcd",0.98,0.1,241
7,"maxPatch","cd",0.91,0.15,119,"abc",0.98,0.13,197,"bcde",0.98,0.14,208,"bc",1.01,0.13,135,"abc",0.98,0.1,242
8,"maxPatch","abc",0.99,0.14,111,"ab",1.01,0.16,194,"bcde",0.97,0.17,205,"abc",1.05,0.11,125,"abc",0.98,0.13,229
9,"maxPatch","ab",1.04,0.1,120,"ab",1.01,0.11,197,"abc",1.01,0.19,210,"abc",1.05,0.14,128,"abc",0.99,0.2,231
10,"maxPatch","abc",0.98,0.11,112,"abc",0.98,0.12,195,"de",0.94,0.17,200,"abc",1.05,0.19,125,"aef",0.93,0.24,230
11,"maxPatch","c",0.96,0.12,118,"abc",0.99,0.13,196,"abcd",0.99,0.14,198,"a",1.08,0.13,128,"af",0.92,0.2,231
12,"maxPatch","abc",1,0.12,108,"a",1.03,0.1,171,"abc",1.01,0.11,181,"ab",1.06,0.12,105,"adef",0.94,0.21,201
13,"maxPatch","a",1.07,0.08,62,"a",1.04,0.08,92,"a",1.04,0.12,111,"a",1.12,0.17,46,"acdef",0.95,0.23,90
14,"maxPatch","abc",1.02,0.12,22,"abc",0.98,0.14,46,"cde",0.96,0.14,61,"a",1.14,0.15,15,"acdef",0.95,0.11,19
