"ID","Basin","Season","Year","Month","Name"
"1980052S16155","SP","1980",1980,2,"SIMON"
"1980073S09133","SI","1980",1980,3,"DORIS-GLORIA:GLORIA"
"1980126N08150","WP","1980",1980,5,"DOM"
"1980161N09249","EP","1980",1980,6,"AGATHA"
"1980197N07154","WP","1980",1980,7,"JOE"
"1980219N15165","WP","1980",1980,8,"MARGE"
"1980236N13255","EP","1980",1980,8,"JAVIER"
"1980236N15144","WP","1980",1980,8,"NORRIS"
"1980250N13341","NAt","1980",1980,9,"FRANCES"
"1980270N13165","WP","1980",1980,9,"VERNON"
"1980323N04180","WP","1980",1980,11,"DINAH"
"1981069S12135","SP","1981",1981,3,"MAX"
"1981070N03173","WP","1981",1981,3,"FREDA"
"1981094S06094","SI","1981",1981,4,"OLGA"
"1981247N16300","NAt","1981",1981,9,"FLOYD"
"1981265N14328","NAt","1981",1981,9,"IRENE"
"1981282N15256","EP","1981",1981,10,"NORMA"
"1981286N10150","WP","1981",1981,10,"GAY"
"1982058S10185","SP","1982",1982,2,"ISAAC"
"1982113S06085","SI","1982",1982,4,"KARLA"
"1982136N08140","WP","1982",1982,5,"PAT"
"1982188N09262","EP","1982",1982,7,"DANIEL"
"1982207N09243","EP","1982",1982,7,"GILMA"
"1982215N10236","EP","1982",1982,8,"JOHN"
"1982238N10161","WP","1982",1982,8,"GORDON"
"1982248N14133","WP","1982",1982,9,"IRVING"
"1982257N17140","WP","1982",1982,9,"KEN"
"1982286N09170","WP","1982",1982,10,"OWEN"
"1982287N09269","EP","1982",1982,10,"SERGIO"
"1982325N08176","WP","1982",1982,11,"PAMELA"
"1983002S11112","SI","1983",1983,1,"JANE"
"1983082S11180","SP","1983",1983,3,"SARAH"
"1983228N27270","NAt","1983",1983,8,"ALICIA"
"1983249N15260","EP","1983",1983,9,"LORENA"
"1983255N12261","EP","1983",1983,9,"MANUEL"
"1983274N12251","EP","1983",1983,9,"PRISCILLA"
"1983330S11113","SI","1984",1983,11,"QUENTON"
"1983339S10065","SI","1984",1983,12,"ANDRY"
"1983353S08070","SI","1984",1983,12,"BAKOLY"
"1984035S09101","SI","1984",1984,2,"ANNETTE:JAMINY"
"1984048S16120","SI","1984",1984,2,"BOBBY"
"1984057S14124","SI","1984",1984,2,"CHLOE"
"1984067S09101","SI","1984",1984,3,"DARYL"
"1984094S10080","SI","1984",1984,4,"KAMISY"
"1984189N11265","EP","1984",1984,7,"GENEVIEVE"
"1984230N09210","EP","1984",1984,8,"KELI"
"1984239N08146","WP","1984",1984,8,"IKE"
"1984270N13262","EP","1984",1984,9,"POLO"
"1984290N06153","WP","1984",1984,10,"THAD"
"1984317N04164","WP","1984",1984,11,"CLARA"
"1984355S16129","SI","1985",1984,12,"FRANK"
"1985100S07104","SI","1985",1985,4,"MARGOT"
"1985158N10267","EP","1985",1985,6,"BLANCA"
"1985177N10258","EP","1985",1985,6,"DOLORES"
"1985240N20286","NAt","1985",1985,8,"ELENA"
"1985249N13265","EP","1985",1985,9,"SANDRA"
"1985259N12262","EP","1985",1985,9,"TERRY"
"1985268N03161","WP","1985",1985,9,"BRENDAN"
"1985298N12249","EP","1985",1985,10,"XINA"
"1985320N21296","NAt","1985",1985,11,"KATE"
"1985329S09104","SI","1986",1985,11,"NICHOLAS"
"1985347N07155","WP","1985",1985,12,"HOPE"
"1986027S13145","SP","1986",1986,1,"WINIFRED"
"1986029S13069","SI","1986",1986,1,"ERINESTA"
"1986036S16187","SP","1986",1986,2,"IMA"
"1986124S05090","SI","1986",1986,5,"BILLY-LILA:LILA"
"1986225N17134","WP","1986",1986,8,"VERA"
"1986252N06153","WP","1986",1986,9,"ABBY"
"1986270N05178","WP","1986",1986,10,"CARMEN"
"1986283N10179","WP","1986",1986,10,"FORREST"
"1986316N06146","WP","1986",1986,11,"JOE"
"1986343N05176","WP","1986",1986,12,"MARGE"
"1986353N03178","WP","1986",1986,12,"NORRIS"
"1987007N06162","WP","1987",1987,1,"ORCHID"
"1987015S16125","SI","1987",1987,1,"CONNIE"
"1987035S12160","SP","1987",1987,2,"UMA:VELI"
"1987213N11268","EP","1987",1987,7,"HILARY"
"1987263N10241","EP","1987",1987,9,"OTIS"
"1987263N10309","NAt","1987",1987,9,"EMILY"
"1987320N03171","WP","1987",1987,11,"NINA"
"1988005N03174","WP","1988",1988,1,"ROY"
"1988028S07100","SI","1988",1988,1,"FREDERIC"
"1988055S10180","SP","1988",1988,2,"BOLA"
"1988072S08088","SI","1988",1988,3,"GASITAO"
"1988193N09149","WP","1988",1988,7,"WARREN"
"1988226N22173","WP","1988",1988,8,"DOYLE"
"1988242N12215","EP","1988",1988,8,"ULEKI"
"1988249N18163","WP","1988",1988,9,"HAL"
"1989201N11145","WP","1989",1989,7,"JUDY"
"1989227N13261","EP","1989",1989,8,"ISMAEL"
"1989238N22253","EP","1989",1989,8,"KIKO"
"1989271N12142","WP","1989",1989,9,"ANGELA"
"1989291N05158","WP","1989",1989,10,"FORREST"
"1989324N17174","WP","1989",1989,11,"IRMA"
"1989354N05155","WP","1989",1989,12,"JACK"
"1990062S13091","SI","1990",1990,3,"GREGOARA:WALTER"
"1990073S13170","SP","1990",1990,3,"IVOR"
"1990202N10264","EP","1990",1990,7,"ISELLE"
"1990205N16141","WP","1990",1990,7,"STEVE"
"1990229N11261","EP","1990",1990,8,"JULIO"
"1990236N13314","NAt","1990",1990,8,"GUSTAV"
"1990319N07197","WP","1990",1990,11,"OWEN"
"1990350S11165","SP","1991",1990,12,"JOY"
"1991013S04096","SI","1991",1991,1,"BELLA"
"1991083S11100","SI","1991",1991,3,"ERROL"
"1991168N11265","EP","1991",1991,6,"CARLOS"
"1991194N11147","WP","1991",1991,7,"AMY"
"1991210N11253","EP","1991",1991,7,"FEFA"
"1991228N26286","NAt","1991",1991,8,"BOB"
"1991243N05172","WP","1991",1991,9,"IVY"
"1991274N08164","WP","1991",1991,10,"PAT"
"1991274N14149","WP","1991",1991,10,"ORCHID"
"1991277N13251","EP","1991",1991,10,"LINDA"
"1991338S08181","SP","1992",1991,12,"VAL"
"1991339S10203","SP","1992",1991,12,"WASA"
"1992005S07172","SP","1992",1992,1,"BETSY"
"1992027N05206","EP","1992",1992,1,"EKEKA"
"1992172N07144","WP","1992",1992,6,"BOBBIE"
"1992185N13265","EP","1992",1992,7,"DARBY"
"1992212N05154","WP","1992",1992,8,"JANIS"
"1992216N06182","WP","1992",1992,8,"KENT"
"1992242N13166","WP","1992",1992,9,"RYAN"
"1992248N19166","WP","1992",1992,9,"SIBYL"
"1992268N11193","WP","1992",1992,9,"WARD"
"1992281N11263","EP","1992",1992,10,"WINIFRED"
"1992298N10188","WP","1992",1992,10,"DAN"
"1992314N08141","WP","1992",1992,11,"FORREST"
"1992318N11160","WP","1992",1992,11,"HUNT"
"1992357S13143","SP","1993",1992,12,"NINA"
"1993016S06091","SI","1993",1993,1,"EDWINA"
"1993053S12161","SP","1993",1993,2,"POLLY"
"1993091S13092","SI","1993",1993,4,"JOURDANNE"
"1993197N11247","EP","1993",1993,7,"EUGENE"
"1993211N07161","WP","1993",1993,8,"ROBYN"
"1993229N13265","EP","1993",1993,8,"HILARY"
"1993235N20307","NAt","1993",1993,8,"EMILY"
"1993240N17142","WP","1993",1993,8,"YANCY"
"1993250N17119","WP","1993",1993,9,"ABE"
"1994007S16056","SI","1994",1994,1,"DAISY"
"1994010S17124","SI","1994",1994,1,"FARAH:PEARL"
"1994036S09075","SI","1994",1994,2,"HOLLANDA"
"1994076S14078","SI","1994",1994,3,"NADIA"
"1994086S08092","SI","1994",1994,3,"ODILLE"
"1994095S08129","SI","1994",1994,4,"VIVIENNE"
"1994186N09139","WP","1994",1994,7,"TIM"
"1994291N12170","WP","1994",1994,10,"WILDA"
"1994325S06076","SI","1995",1994,11,"ALBERTINE"
"1994345N06165","WP","1994",1994,12,"AXEL"
"1995017S10078","SI","1995",1995,1,"DORINA"
"1995059S11155","SP","1995",1995,3,"VIOLET"
"1995236N10134","WP","1995",1995,8,"KENT"
"1995256N12309","NAt","1995",1995,9,"MARILYN"
"1995258N14115","WP","1995",1995,9,"RYAN"
"1995281N14278","NAt","1995",1995,10,"ROXANNE"
"1995287N08163","WP","1995",1995,10,"WARD"
"1995294N05163","WP","1995",1995,10,"ZACK"
"1995319S05092","SI","1996",1995,11,"AGNIELLE:DARYL"
"1995323N05097","NI","1995",1995,11,"NOT_NAMED"
