"ID","Basin","Season","Year","Month","Name"
"1980208N23153","WP","1980",1980,7,"LEX"
"1980213N11256","EP","1980",1980,7,"HOWARD"
"1980219N15258","EP","1980",1980,8,"ISIS"
"1980227N13325","NAt","1980",1980,8,"BONNIE"
"1980275N34340","NAt","1980",1980,10,"IVAN"
"1980313N14277","NAt","1980",1980,11,"JEANNE"
"1981056S14141","SP","1981",1981,2,"FREDA"
"1981219N12255","EP","1981",1981,8,"FERNANDA"
"1981237N16148","WP","1981",1981,8,"AGNES"
"1981245N23161","WP","1981",1981,9,"BILL"
"1981250N15306","NAt","1981",1981,9,"GERT"
"1981355N07149","WP","1981",1981,12,"LEE"
"1982054S13123","SI","1982",1982,2,"IAN"
"1982075S12055","SI","1982",1982,3,"JUSTINE"
"1982087N04157","WP","1982",1982,3,"ODESSA"
"1982220N08154","WP","1982",1982,8,"DOT"
"1982227N09140","WP","1982",1982,8,"FAYE"
"1982247N11147","WP","1982",1982,9,"JUDY"
"1982253N10250","EP","1982",1982,9,"NORMAN"
"1982262N12270","EP","1982",1982,9,"PAUL"
"1983019S14176","SP","1983",1983,1,"MARK"
"1983105S09228","SP","1983",1983,4,"WILLIAM"
"1983110S12080","SI","1983",1983,4,"NAOMI"
"1983141N07269","EP","1983",1983,5,"ADOLPH"
"1983186N04153","WP","1983",1983,7,"VERA"
"1983221N13254","EP","1983",1983,8,"ISMAEL"
"1983295S08089","SI","1984",1983,10,"OSCAR"
"1984033S12115","SI","1984",1984,2,"WILLY"
"1984169N14257","EP","1984",1984,6,"CRISTINA"
"1984180N16130","WP","1984",1984,7,"ALEX"
"1984186N16154","WP","1984",1984,7,"CARY"
"1984186N16256","EP","1984",1984,7,"FAUSTO"
"1984207N29135","WP","1984",1984,7,"ED"
"1984262N14259","EP","1984",1984,9,"ODILE"
"1984281N24291","NAt","1984",1984,10,"JOSEPHINE"
"1985012S16161","SP","1985",1985,1,"ERIC"
"1985014S16151","SP","1985",1985,1,"NIGEL"
"1985025S15203","SP","1985",1985,1,"FREDA"
"1985041S14129","SI","1985",1985,2,"HUBERT"
"1985042S08101","SI","1985",1985,2,"ISOBEL"
"1985046S09128","SI","1985",1985,2,"JACOB"
"1985065S09118","SI","1985",1985,3,"LINDSAY"
"1985097S09076","SI","1985",1985,4,"HELISAONINA"
"1985136N07129","WP","1985",1985,5,"GAY"
"1985162N05154","WP","1985",1985,6,"HAL"
"1985168N05156","WP","1985",1985,6,"IRMA"
"1985212N22148","WP","1985",1985,8,"KIT"
"1985227N16149","WP","1985",1985,8,"NELSON"
"1985231N16142","WP","1985",1985,8,"ODESSA"
"1985236N23125","WP","1985",1985,8,"PAT"
"1985240N09198","EP","1985",1985,8,"SKIP"
"1985280N15254","EP","1985",1985,10,"WALDO"
"1985281N02144","WP","1985",1985,10,"CECIL"
"1985294N10122","WP","1985",1985,10,"FAYE"
"1986067S11080","SI","1986",1986,3,"HONORININA"
"1986135S07160","SP","1986",1986,5,"NAMU"
"1986190N11162","WP","1986",1986,7,"ROGER"
"1986228N19120","WP","1986",1986,8,"WAYNE"
"1986254N22309","NAt","1986",1986,9,"EARL"
"1986271N12267","EP","1986",1986,9,"PAINE"
"1986356S07183","SP","1987",1986,12,"RAJA"
"1986360S13195","SP","1987",1986,12,"SALLY"
"1987015S09187","SP","1987",1987,1,"TUSI"
"1987036S12140","SP","1987",1987,2,"JASON"
"1987203N11263","EP","1987",1987,7,"EUGENE"
"1987219N08155","WP","1987",1987,8,"CARY"
"1987226N13241","EP","1987",1987,8,"JOVA"
"1987245N15133","WP","1987",1987,9,"GERALD"
"1987264N10190","EP","1987",1987,9,"PEKE"
"1987266N16148","WP","1987",1987,9,"IAN"
"1987282N12137","WP","1987",1987,10,"KELLY"
"1987343N05154","WP","1987",1987,12,"PHYLLIS"
"1988050S13155","SP","1988",1988,2,"CHARLIE"
"1988218N13264","EP","1988",1988,8,"IVA"
"1988265N13263","EP","1988",1988,9,"LANE"
"1988295N10138","WP","1988",1988,10,"RUBY"
"1988308N09140","WP","1988",1988,11,"SKIP"
"1988347S12128","SI","1989",1988,12,"ILONA"
"1989035S11106","SI","1989",1989,2,"KIRRILY"
"1989053S15170","SP","1989",1989,2,"IVY"
"1989087S11073","SI","1989",1989,3,"KRISY"
"1989096S13159","SP","1989",1989,4,"LILI"
"1989153N04144","WP","1989",1989,6,"DOT"
"1989211N24153","WP","1989",1989,7,"MAC"
"1989212N15318","NAt","1989",1989,7,"DEAN"
"1989216N06159","WP","1989",1989,8,"OWEN"
"1989230N14338","NAt","1989",1989,8,"ERIN"
"1989246N16159","WP","1989",1989,9,"SARAH"
"1989271N14168","WP","1989",1989,10,"COLLEEN"
"1989279N07151","WP","1989",1989,10,"DAN"
"1989314N10152","WP","1989",1989,11,"HUNT"
"1989346S10133","SI","1990",1989,12,"FELICITY"
"1990171N11148","WP","1990",1990,6,"PERCY"
"1990191N10266","EP","1990",1990,7,"GENEVIEVE"
"1990208N18132","WP","1990",1990,7,"VERNON"
"1990216N13281","NAt","1990",1990,8,"DIANA"
"1990221N07162","WP","1990",1990,8,"YANCY"
"1990228N15141","WP","1990",1990,8,"ZOLA"
"1990235N10152","WP","1990",1990,8,"ABE"
"1990245N16149","WP","1990",1990,9,"DOT"
"1990247N07337","NAt","1990",1990,9,"ISIDORE"
"1990261N12141","WP","1990",1990,9,"GENE"
"1990271N13153","WP","1990",1990,10,"HATTIE"
"1990287N13156","WP","1990",1990,10,"KYLE"
"1990295N11261","EP","1990",1990,10,"VANCE"
"1990327S07175","SP","1991",1990,11,"SINA"
"1991163N11128","WP","1991",1991,6,"YUNYA"
"1991200N05157","WP","1991",1991,7,"CAITLIN"
"1991220N10133","WP","1991",1991,8,"FRED"
"1991251N12138","WP","1991",1991,9,"KINNA"
"1991257N16130","WP","1991",1991,9,"NAT"
"1991299N27295","NAt","1991",1991,10,"GRACE"
"1991311N10256","EP","1991",1991,11,"NORA"
"1991317S07164","SP","1992",1991,11,"TIA"
"1992055S11086","SI","1992",1992,2,"FARIDA"
"1992197N11266","EP","1992",1992,7,"GEORGETTE"
"1992258N17249","EP","1992",1992,9,"ROSLYN"
"1992262N34301","NAt","1992",1992,9,"BONNIE"
"1992266N30327","NAt","1992",1992,9,"CHARLEY"
"1992289N09171","WP","1992",1992,10,"BRIAN"
"1993186N13262","EP","1993",1993,7,"CALVIN"
"1993258N11279","NAt","1993",1993,9,"GERT"
"1993263N11168","WP","1993",1993,9,"CECIL"
"1993298N11154","WP","1993",1993,10,"IRA"
"1993331N05172","WP","1993",1993,12,"LOLA"
"1993331N07108","NI","1993",1993,12,"NOT_NAMED"
"1993336N05164","WP","1993",1993,12,"MANNY"
"1993348S13120","SI","1994",1993,12,"NAOMI"
"1994022S12113","SI","1994",1994,1,"QUENTON"
"1994037S12095","SI","1994",1994,2,"IVY"
"1994180N12255","EP","1994",1994,6,"CARLOTTA"
"1994231N12157","WP","1994",1994,8,"GLADYS"
"1994237N24167","WP","1994",1994,8,"IVY"
"1994241N14236","EP","1994",1994,8,"KRISTY"
"1994244N07151","WP","1994",1994,9,"KINNA"
"1994282N17247","EP","1994",1994,10,"ROSA"
"1994287N08176","WP","1994",1994,10,"VERNE"
"1994287N14156","WP","1994",1994,10,"TERESA"
"1994306N23313","NAt","1994",1994,11,"FLORENCE"
"1995053S14065","SI","1995",1995,2,"INGRID"
"1995063S13141","SP","1995",1995,3,"WARREN"
"1995193N06156","WP","1995",1995,7,"FAYE"
"1995212N22287","NAt","1995",1995,7,"ERIN"
"1995234N13327","NAt","1995",1995,8,"HUMBERTO"
"1995235N13311","NAt","1995",1995,8,"IRIS"
"1995244N16256","EP","1995",1995,9,"HENRIETTE"
"1995252N08142","WP","1995",1995,9,"POLLY"
"1995348S15135","SI","1996",1995,12,"GERTIE"
"1996007S10100","SI","1996",1996,1,"CORYNA:HUBERT"
"1996049S10068","SI","1996",1996,2,"EDWIGE"
"1996057S12074","SI","1996",1996,2,"FLOSSY"
"1996172N13261","EP","1996",1996,6,"ALMA"
"1996210N05156","WP","1996",1996,8,"KIRK"
"1996227N15176","WP","1996",1996,8,"ORSON"
"1996268N15140","WP","1996",1996,9,"ZANE"
"1996354S05170","SP","1997",1996,12,"FERGUS"
"1997018S11059","SI","1997",1997,1,"GRETELLE"
"1997032S17055","SI","1997",1997,2,"JOSIE"
"1997062S16158","SP","1997",1997,3,"JUSTIN"
"1997133N03092","NI","1997",1997,5,"NOT_NAMED"
"1997156S11192","SP","1997",1997,6,"KELI"
"1997165N12139","WP","1997",1997,6,"OPAL"
"1997202N04152","WP","1997",1997,7,"TINA"
"1997232N14136","WP","1997",1997,8,"AMBER"
"1997311N09258","EP","1997",1997,11,"RICK"
"1997326S09203","SP","1998",1997,11,"OSEA"
"1997360S12111","SI","1998",1997,12,"SELWYN"
"1998036S13066","SI","1998",1998,2,"ANACELLE"
"1998087S15172","SP","1998",1998,3,"ZUMAN"
