"ID","Basin","Season","Year","Month","Name"
"1980214N11330","NAt","1980",1980,7,"ALLEN"
"1980277N09157","WP","1980",1980,10,"WYNNE"
"1981266N09151","WP","1981",1981,9,"ELSIE"
"1982202N11165","WP","1982",1982,7,"BESS"
"1982272N11156","WP","1982",1982,10,"MAC"
"1983212N06151","WP","1983",1983,8,"ABBY"
"1984077S12149","SP","1984",1984,3,"KATHY"
"1984294N04163","WP","1984",1984,10,"VANESSA"
"1985070S17175","SP","1985",1985,3,"HINA"
"1985284N05159","WP","1985",1985,10,"DOT"
"1986134N08149","WP","1986",1986,5,"LOLA"
"1988253N12306","NAt","1988",1988,9,"GILBERT"
"1989106S11128","SI","1989",1989,4,"ORSON"
"1989254N13340","NAt","1989",1989,9,"HUGO"
"1990074S12115","SI","1990",1990,3,"ALEX"
"1990251N06171","WP","1990",1990,9,"FLO"
"1991320N06171","WP","1991",1991,11,"YURI"
"1992230N11325","NAt","1992",1992,8,"ANDREW"
"1994197N09229","EP","1994",1994,7,"EMILIA"
"1994202N11238","EP","1994",1994,7,"GILMA"
"1994222N11267","EP","1994",1994,8,"JOHN"
"1995089S09131","SI","1995",1995,4,"CHLOE"
"1997212N11265","EP","1997",1997,7,"GUILLERMO"
"1997253N12255","EP","1997",1997,9,"LINDA"
"1997355S05189","SP","1998",1998,1,"SUSAN"
"1998001S09195","SP","1998",1998,1,"RON"
"1998295N12284","NAt","1998",1998,10,"MITCH"
"1998335S12138","SP","1999",1998,11,"THELMA"
"1999074S13132","SI","1999",1999,3,"VANCE"
"1999092S11131","SI","1999",1999,4,"GWENDA"
"1999298N12099","NI","1999",1999,10,"NOT_NAMED"
"2000083S17102","SI","2000",2000,3,"HUDAH"
"2000102S13128","SI","2000",2000,4,"PAUL"
"2000105S09127","SI","2000",2000,4,"ROSITA"
"2002063S11066","SI","2002",2002,3,"HARY"
"2002204N12263","EP","2002",2002,7,"ELIDA"
"2002242N14257","EP","2002",2002,8,"HERNAN"
"2002295N11261","EP","2002",2002,10,"KENNA"
"2002358S08185","SP","2003",2002,12,"ZOE"
"2003088S07131","SI","2003",2003,3,"INIGO"
"2003249N14329","NAt","2003",2003,9,"ISABEL"
"2004061S12072","SI","2004",2004,3,"GAFILO"
"2004247N10332","NAt","2004",2004,9,"IVAN"
"2005054S09173","SP","2005",2005,2,"PERCY"
"2005063S12141","SP","2005",2005,3,"INGRID"
"2005092S11102","SI","2005",2005,4,"ADELINE:JULIET"
"2005192N11318","NAt","2005",2005,7,"EMILY"
"2005236N23285","NAt","2005",2005,8,"KATRINA"
"2005261N21290","NAt","2005",2005,9,"RITA"
"2005289N18282","NAt","2005",2005,10,"WILMA"
"2006106S10153","SP","2006",2006,4,"MONICA"
"2006228N10218","EP","2006",2006,8,"IOKE"
"2007225N12331","NAt","2007",2007,8,"DEAN"
"2007244N12303","NAt","2007",2007,8,"FELIX"
"2009288N07267","EP","2009",2009,10,"RICK"
"2010002S09096","SI","2010",2010,1,"EDZANI"
"2010169N13266","EP","2010",2010,6,"CELIA"
"2010285N13145","WP","2010",2010,10,"MEGI"
"2013306N07162","WP","2013",2013,11,"HAIYAN"
"2013350S08099","SI","2014",2013,12,"BRUCE"
"2014066S09138","SP","2014",2014,3,"GILLIAN"
"2014086S10041","SI","2014",2014,3,"HELLEN"
"2014092S11159","SP","2014",2014,4,"ITA"
"2014234N12261","EP","2014",2014,8,"MARIE"
"2015009S19054","SI","2015",2015,1,"BANSI"
"2015024S15078","SI","2015",2015,1,"EUNICE"
"2015066S08170","SP","2015",2015,3,"PAM"
"2015293N13266","EP","2015",2015,10,"PATRICIA"
"2016041S14170","SP","2016",2016,2,"WINSTON"
"2016102S12074","SI","2016",2016,4,"FANTALA"
"2016253N13144","WP","2016",2016,9,"MERANTI"
"2016273N13300","NAt","2016",2016,9,"MATTHEW"
"2017094S10115","SI","2017",2017,4,"ERNIE"
"2017242N16333","NAt","2017",2017,8,"IRMA"
"2017260N12310","NAt","2017",2017,9,"MARIA"
"2018073S09129","SI","2018",2018,3,"MARCUS"
"2018226N11245","EP","2018",2018,8,"LANE"
"2018269N11220","EP","2018",2018,9,"WALAKA"
"2018280N18273","NAt","2018",2018,10,"MICHAEL"
"2018292N14261","EP","2018",2018,10,"WILLA"
"2019236N10314","NAt","2019",2019,8,"DORIAN"
"2019266N11341","NAt","2019",2019,9,"LORENZO"
"2020092S09155","SP","2020",2020,4,"HAROLD"
